"BenSampID","StationID","CollDate","Target_Count","StreamName","Location","CollMeth","DEQREG","Collector","Basin","EcoregionCode","Sample Season","RepNum","SCI","FamTotTaxa","FamEPTTax","%Ephem","%PT - Hydropsychidae","Fam%Scrap","%Chiro","Fam%2Dom","FamHBI","Fam SCI","Season","Year","method","limit","Ecoregion","TotTaxa","HBI","EPTTax","%5Dom","%ClngP-HS","VCPMI63","%Scrap","%Intoler","VCPMI65","ID","IRYear","CollectorID","Region","EcoRegion","County","AssessmentMethod","Reviewer","SeasonalDifferences","SummaryAssessment","FactorsWatershed","RecentChange","FinalAssessmentRating","Lat","Long","HabSampID","Comments","EnterDate","HSampIndex","CollTime","Field Team","ALTER","BANKS","BANKVEG","COVER","EMBED","FLOW","POOLSUB","POOLVAR","RIFFLES","RIPVEG","SEDIMENT","SINUOSITY","SUBSTRATE","VELOCITY","TotalHabitat"
"LII8117R110","1ALII001.07",2016-03-22,110,"Little Bull Run","Robin Dr.","Riffle","NRO","LDF/BDS","Potomac","64b","Spring 2016",1,53,17,8,10.91,13.6,20,50,60.91,5.08,52.96,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2020,"BDS","NRO","64b","Prince William","VSCI",NA,NA,NA,NA,NA,NA,38.84441,-77.54806,"LII3458",NA,2016-06-24,3458,"10:00","LDF/BDS",18,11,18,NA,18,19,NA,NA,17,19,18,NA,17,19,174
"LII8117R110","1ALII001.07",2016-03-22,110,"Little Bull Run","Robin Dr.","Riffle","NRO","LDF/BDS","Potomac","64b","Spring 2016",1,53,17,8,10.91,13.6,20,50,60.91,5.08,52.96,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2020,"BDS","NRO","64b","Prince William","VSCI",NA,NA,NA,NA,NA,NA,38.84441,-77.54806,"LII3508",NA,2016-08-17,3508,"10:00","LDF/BDS",18,11,18,NA,18,19,NA,NA,17,19,18,NA,17,19,174
"LII8359R110","1ALII001.07",2016-03-22,110,"Little Bull Run","Robin Dr.","Riffle","NRO","BDS","Potomac","64b","Spring 2016",2,42.4,10,4,10.91,9.1,20,50.91,61.82,5.16,42.41,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2020,"BDS","NRO","64b","Prince William","VSCI",NA,NA,NA,NA,NA,NA,38.84441,-77.54806,"LII3458",NA,2016-06-24,3458,"10:00","LDF/BDS",18,11,18,NA,18,19,NA,NA,17,19,18,NA,17,19,174
"LII8359R110","1ALII001.07",2016-03-22,110,"Little Bull Run","Robin Dr.","Riffle","NRO","BDS","Potomac","64b","Spring 2016",2,42.4,10,4,10.91,9.1,20,50.91,61.82,5.16,42.41,"Spring",2016,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2020,"BDS","NRO","64b","Prince William","VSCI",NA,NA,NA,NA,NA,NA,38.84441,-77.54806,"LII3508",NA,2016-08-17,3508,"10:00","LDF/BDS",18,11,18,NA,18,19,NA,NA,17,19,18,NA,17,19,174
"ram7247R110","2-RAM007.29",2015-04-06,110,"Ramseys Draft","approx. 1.5 air mi. u.s. Rt 250 at Mountain House","Riffle","VRO","bvw, rtt, tkt","James","67d","Spring 2015",1,76.6,18,13,49.09,12.7,40,1.82,61.82,4.25,76.63,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,2020,"BVW","VRO","67d","Augusta","VSCI",NA,NA,NA,NA,NA,NA,38.32267,-79.34643,"ram3131",NA,2015-11-06,3131,"15:20","bvw, rtt, tkt",19,18,20,NA,18,18,NA,NA,19,20,18,NA,19,18,187
"ram7247R110","2-RAM007.29",2015-04-06,110,"Ramseys Draft","approx. 1.5 air mi. u.s. Rt 250 at Mountain House","Riffle","VRO","bvw, rtt, tkt","James","67d","Spring 2015",1,76.6,18,13,49.09,12.7,40,1.82,61.82,4.25,76.63,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,2020,"BVW","VRO","67d","Augusta","VSCI",NA,NA,NA,NA,NA,NA,38.32267,-79.34643,"ram3256",NA,2016-02-02,3256,"15:20","tkt, bvw, rtt",19,18,20,NA,18,18,NA,NA,19,20,18,NA,19,18,187
"ram7608R110","2-RAM007.29",2015-04-06,110,"Ramseys Draft","approx. 1.5 air mi. u.s. Rt 250 at Mountain House","Riffle","VRO","tkt, bvw, rtt","James","67d","Spring 2015",1,79.5,17,14,50,17.3,36.36,0.91,51.82,3.93,79.48,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,2020,"BVW","VRO","67d","Augusta","VSCI",NA,NA,NA,NA,NA,NA,38.32267,-79.34643,"ram3131",NA,2015-11-06,3131,"15:20","bvw, rtt, tkt",19,18,20,NA,18,18,NA,NA,19,20,18,NA,19,18,187
"ram7608R110","2-RAM007.29",2015-04-06,110,"Ramseys Draft","approx. 1.5 air mi. u.s. Rt 250 at Mountain House","Riffle","VRO","tkt, bvw, rtt","James","67d","Spring 2015",1,79.5,17,14,50,17.3,36.36,0.91,51.82,3.93,79.48,"Spring",2015,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,2020,"BVW","VRO","67d","Augusta","VSCI",NA,NA,NA,NA,NA,NA,38.32267,-79.34643,"ram3256",NA,2016-02-02,3256,"15:20","tkt, bvw, rtt",19,18,20,NA,18,18,NA,NA,19,20,18,NA,19,18,187
"SLE6072R110","2-SLE002.65",2014-04-28,110,"Salle Creek","US Rt. 60","MACS","PRO","WHS, WGS","James","45e","Spring 2014",2,62.6,17,11,19.09,20,16.36,42.73,53.64,4.55,62.6,"Spring",2014,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,2020,"WGS","PRO","45e","Powhatan","VSCI",NA,NA,NA,NA,NA,NA,37.56583,-78.00222,"SLE2605",NA,2014-11-25,2605,"12:30","WHS, WGS",14,10,14,NA,NA,11,14,13,NA,18,9,10,14,NA,127
"SLE6072R110","2-SLE002.65",2014-04-28,110,"Salle Creek","US Rt. 60","MACS","PRO","WHS, WGS","James","45e","Spring 2014",2,62.6,17,11,19.09,20,16.36,42.73,53.64,4.55,62.6,"Spring",2014,"VSCI",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,2020,"WGS","PRO","45e","Powhatan","VSCI",NA,NA,NA,NA,NA,NA,37.56583,-78.00222,"SLE2611",NA,2014-11-26,2611,"12:30",NA,14,10,14,NA,NA,11,14,13,NA,18,9,10,14,NA,127
